Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Month,Year,Month,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total attendance,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Total Attendance over 4hrs,Patients who have waited 4-12 hs from DTA to admission
0,2599,0,12,341,4/1/2018,2018,Apr,8188,0,4264,12452,898,0,53,951,203
0,2291,0,56,2134,4/1/2018,2018,Apr,8704,0,1895,10599,2639,0,22,2661,903
0,0,0,0,23,4/1/2018,2018,Apr,0,0,2034,2034,0,0,9,9,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1901,1901,0,0,1,1,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,688,688,0,0,0,0,0
0,0,0,0,28,4/1/2018,2018,Apr,0,0,7547,7547,0,0,53,53,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,6023,6023,0,0,0,0,0
0,2331,0,8,2353,4/1/2018,2018,Apr,10787,0,1959,12746,590,0,0,590,253
0,1214,0,0,10,4/1/2018,2018,Apr,5357,0,598,5955,401,0,1,402,51
0,1717,0,0,244,4/1/2018,2018,Apr,5463,0,686,6149,585,0,1,586,31
0,0,0,0,111,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1430,1430,0,0,7,7,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4486,4486,0,0,18,18,0
0,2510,0,0,1021,4/1/2018,2018,Apr,7003,0,1243,8246,830,0,32,862,71
0,0,0,4,190,4/1/2018,2018,Apr,0,0,655,655,0,0,3,3,0
2,1788,0,0,54,4/1/2018,2018,Apr,6556,0,3437,9993,1400,0,42,1442,343
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1669,1669,0,0,0,0,0
1,3767,0,0,736,4/1/2018,2018,Apr,12626,0,1417,14043,1627,0,0,1627,0
0,3873,0,0,533,4/1/2018,2018,Apr,9118,0,0,9118,2530,0,0,2530,263
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4877,4877,0,0,12,12,0
7,2511,0,0,865,4/1/2018,2018,Apr,6906,0,797,7703,1453,0,0,1453,549
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3002,3002,0,0,0,0,0
0,2274,0,0,671,4/1/2018,2018,Apr,8320,0,0,8320,378,0,0,378,197
0,0,0,3,0,4/1/2018,2018,Apr,0,0,9179,9179,0,0,36,36,1
0,1736,0,0,413,4/1/2018,2018,Apr,6896,0,5395,12291,1316,0,6,1322,349
0,2156,0,0,1293,4/1/2018,2018,Apr,6150,0,0,6150,695,0,0,695,44
0,0,0,0,0,4/1/2018,2018,Apr,0,0,151,151,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2511,2511,0,0,0,0,0
0,0,0,0,488,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,1935,0,0,819,4/1/2018,2018,Apr,8259,0,5783,14042,1892,0,32,1924,462
2,1878,0,0,113,4/1/2018,2018,Apr,5287,0,7724,13011,2511,0,54,2565,271
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3235,3235,0,0,0,0,0
0,2225,8,7,2609,4/1/2018,2018,Apr,9633,1796,8223,19652,855,112,13,980,140
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3456,3456,0,0,0,0,0
99,1768,0,0,554,4/1/2018,2018,Apr,8193,0,0,8193,2157,0,0,2157,588
0,2140,0,0,724,4/1/2018,2018,Apr,5351,0,0,5351,1001,0,0,1001,404
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2926,2926,0,0,0,0,0
0,0,0,0,17,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
1,1472,0,0,402,4/1/2018,2018,Apr,8194,0,0,8194,1350,0,0,1350,90
0,1954,4,0,1171,4/1/2018,2018,Apr,6513,1307,210,8030,653,1,0,654,63
0,2544,0,0,934,4/1/2018,2018,Apr,10709,0,8466,19175,1704,0,58,1762,214
0,0,0,0,182,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3385,3385,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3584,3584,0,0,0,0,0
1,2528,0,0,601,4/1/2018,2018,Apr,6124,0,2931,9055,1122,0,0,1122,291
0,3503,0,0,1085,4/1/2018,2018,Apr,12165,0,1097,13262,3948,0,0,3948,1127
0,1909,0,0,719,4/1/2018,2018,Apr,11202,0,0,11202,1845,0,0,1845,591
1,2915,7,6,1857,4/1/2018,2018,Apr,8385,1513,2158,12056,1370,139,11,1520,108
0,3842,0,0,1325,4/1/2018,2018,Apr,9831,0,0,9831,1759,0,0,1759,473
0,2985,9,0,838,4/1/2018,2018,Apr,9569,2036,0,11605,1748,114,0,1862,396
0,4007,93,1,416,4/1/2018,2018,Apr,11581,1775,5976,19332,2853,25,57,2935,543
0,4226,10,0,3995,4/1/2018,2018,Apr,17840,1678,0,19518,4615,46,0,4661,1093
22,1985,0,106,1031,4/1/2018,2018,Apr,7472,95,2352,9919,1376,0,86,1462,179
2,5035,0,0,2492,4/1/2018,2018,Apr,14076,407,6054,20537,3933,0,171,4104,1069
0,2888,0,0,2133,4/1/2018,2018,Apr,8266,214,4067,12547,2322,0,89,2411,118
0,0,0,0,0,4/1/2018,2018,Apr,0,0,9680,9680,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,471,471,0,0,0,0,0
0,1947,0,0,635,4/1/2018,2018,Apr,6193,0,3323,9516,1640,0,1,1641,334
0,0,0,0,5,4/1/2018,2018,Apr,0,0,3329,3329,0,0,0,0,0
0,2197,0,0,409,4/1/2018,2018,Apr,6310,0,3098,9408,1455,0,14,1469,776
0,2753,0,0,543,4/1/2018,2018,Apr,7787,0,3596,11383,1404,0,4,1408,389
0,2113,0,0,747,4/1/2018,2018,Apr,5596,0,371,5967,896,0,0,896,17
0,3555,0,0,1349,4/1/2018,2018,Apr,11773,0,0,11773,731,0,0,731,78
0,1016,0,0,140,4/1/2018,2018,Apr,3825,0,0,3825,476,0,0,476,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2365,2365,0,0,0,0,0
0,1403,0,0,93,4/1/2018,2018,Apr,8646,0,0,8646,1183,0,0,1183,178
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2980,2980,0,0,24,24,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4021,4021,0,0,9,9,0
0,2404,0,0,1768,4/1/2018,2018,Apr,7279,0,3102,10381,2048,0,0,2048,526
0,0,0,0,0,4/1/2018,2018,Apr,0,0,17,17,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3650,3650,0,0,0,0,0
44,2963,0,0,775,4/1/2018,2018,Apr,10121,0,5311,15432,3810,0,0,3810,1222
0,0,0,0,0,4/1/2018,2018,Apr,0,0,361,361,0,0,0,0,0
0,2284,0,0,481,4/1/2018,2018,Apr,6839,0,648,7487,1972,0,4,1976,355
0,1298,0,0,214,4/1/2018,2018,Apr,4802,0,320,5122,957,0,0,957,150
